season,name,age,team,games_played,games_started,wins,losses,ties,overtime_losses,saves,shots_against,save_percentage,goals_against_average,goals_against,shutouts
2023,Connor Hellebuyck,29,WPG,64,64,37,25,2,157,1964,1807,0.92,2.49,-157,4
2023,Juuse Saros,27,NSH,64,63,33,23,7,171,2099,1928,0.919,2.69,-171,2
2023,Alexandar Georgiev,26,COL,62,62,40,16,6,156,1904,1748,0.918,2.53,-156,5
2023,Jake Oettinger,24,DAL,62,61,37,11,11,144,1776,1632,0.919,2.37,-144,5
2023,Ilya Sorokin,27,NYI,62,60,31,22,7,140,1838,1698,0.924,2.34,-140,6
2023,Jordan Binnington,29,STL,61,60,27,27,6,194,1826,1632,0.894,3.31,-194,2
2023,Andrei Vasilevskiy,28,TBL,60,60,34,22,4,159,1875,1716,0.915,2.65,-159,4
2023,Jacob Markström,33,CGY,59,58,23,21,12,166,1542,1376,0.892,2.92,-166,1
2023,Igor Shesterkin,27,NYR,58,58,37,13,8,144,1719,1575,0.916,2.48,-144,3
2023,Darcy Kuemper,32,WSH,57,56,22,26,7,154,1674,1520,0.908,2.87,-154,5
2023,Ville Husso,27,DET,56,56,26,22,7,167,1603,1436,0.896,3.11,-167,4
2023,Carter Hart,24,PHI,55,54,22,23,10,155,1665,1510,0.907,2.94,-155,2
2023,John Gibson,29,ANA,53,52,14,31,8,200,1983,1783,0.899,3.99,-200,1
2023,Vítek Vaněček,27,NJD,52,48,33,11,4,119,1333,1214,0.911,2.45,-119,3
2023,Sergei Bobrovsky,34,FLA,50,49,24,20,3,145,1466,1321,0.901,3.07,-145,1
2023,Stuart Skinner,24,EDM,50,48,29,14,5,133,1536,1403,0.913,2.75,-133,1
2023,Karel Vejmelka,26,ARI,50,49,18,24,6,168,1670,1502,0.899,3.43,-168,3
2023,Linus Ullmark,29,BOS,49,48,40,6,1,91,1457,1366,0.938,1.89,-91,2
2023,Martin Jones,33,SEA,48,42,27,13,3,131,1145,1014,0.886,2.99,-131,3
2023,Tristan Jarry,27,PIT,47,47,24,13,7,128,1414,1286,0.909,2.9,-128,2
2023,Marc-André Fleury,38,MIN,46,45,24,16,4,126,1367,1241,0.908,2.85,-126,2
2023,James Reimer,34,SJS,43,41,12,21,8,147,1335,1188,0.89,3.48,-147,3
2023,Jake Allen,32,MTL,42,41,15,24,3,145,1335,1190,0.891,3.55,-145,1
2023,Ilya Samsonov,25,TOR,42,40,27,10,5,96,1184,1088,0.919,2.33,-96,4
2023,Jonathan Quick,37,2TM,41,36,16,15,6,127,1080,953,0.882,3.41,-127,2
2023,Jonathan Quick,37,LAK,31,27,11,13,4,99,798,699,0.876,3.5,-99,1
2023,Jonathan Quick,37,VEG,10,9,5,2,2,28,282,254,0.901,3.13,-28,1
2023,Sam Montembeault,26,MTL,40,39,16,19,3,133,1345,1212,0.901,3.42,-133,0
2023,Philipp Grubauer,31,SEA,39,36,17,14,4,98,930,832,0.895,2.85,-98,0
2023,Filip Gustavsson,24,MIN,39,37,22,9,7,81,1173,1092,0.931,2.1,-81,3
2023,Petr Mrázek,30,CHI,39,38,10,22,3,132,1248,1116,0.894,3.66,-132,0
2023,Joonas Korpisalo,28,2TM,39,37,18,14,4,104,1206,1102,0.914,2.87,-104,1
2023,Joonas Korpisalo,28,CBJ,28,26,11,11,3,82,926,844,0.911,3.17,-82,0
2023,Joonas Korpisalo,28,LAK,11,11,7,3,1,22,280,258,0.921,2.13,-22,1
2023,Casey DeSmith,31,PIT,38,33,15,16,4,109,1142,1033,0.905,3.17,-109,0
2023,Pheonix Copley,31,LAK,37,35,24,6,3,92,947,855,0.903,2.64,-92,1
2023,Kaapo Kähkönen,26,SJS,37,37,9,20,7,135,1149,1014,0.883,3.85,-135,1
2023,Jeremy Swayman,24,BOS,37,33,24,6,4,76,953,877,0.92,2.27,-76,4
2023,Logan Thompson,25,VEG,37,36,21,13,3,96,1132,1036,0.915,2.65,-96,2
2023,Jack Campbell,31,EDM,36,34,21,9,4,115,1027,912,0.888,3.41,-115,1
2023,Cam Talbot,35,OTT,36,32,17,14,2,95,935,840,0.898,2.93,-95,1
2023,Frederik Andersen,33,CAR,34,33,21,11,1,82,849,767,0.903,2.48,-82,1
2023,Ukko-Pekka Luukkonen,23,BUF,33,32,17,11,4,115,1054,939,0.891,3.61,-115,0
2023,Thatcher Demko,27,VAN,32,32,14,14,4,99,1005,906,0.901,3.16,-99,1
2023,Charlie Lindgren,29,WSH,31,26,13,11,3,86,853,767,0.899,3.05,-86,0
2023,Elvis Merzļikins,28,CBJ,30,27,7,18,2,110,889,779,0.876,4.23,-110,0
2023,Spencer Martin,27,VAN,29,27,11,15,1,107,830,723,0.871,3.99,-107,0
2023,Anton Forsberg,30,OTT,28,25,11,11,2,80,817,737,0.902,3.26,-80,2
2023,Adin Hill,26,VEG,27,25,16,7,1,61,721,660,0.915,2.45,-61,0
2023,Connor Ingram,25,ARI,27,26,6,13,8,89,960,871,0.907,3.37,-89,1
2023,Antti Raanta,33,CAR,27,26,19,3,3,58,644,586,0.91,2.23,-58,4
2023,Alex Stalock,35,CHI,27,24,9,15,2,74,804,730,0.908,3.01,-74,2
2023,Daniel Vladař,25,CGY,27,23,14,6,5,71,667,596,0.894,2.87,-71,0
2023,Craig Anderson,41,BUF,26,24,11,11,2,76,823,747,0.908,3.06,-76,1
2023,Matt Murray,28,TOR,26,26,14,8,2,74,761,687,0.903,3.01,-74,1
2023,Jaroslav Halák,37,NYR,25,24,10,9,5,66,680,614,0.903,2.72,-66,1
2023,Pyotr Kochetkov,23,CAR,24,23,12,7,5,57,627,570,0.909,2.44,-57,4
2023,Semyon Varlamov,34,NYI,23,22,11,9,2,60,689,629,0.913,2.7,-60,2
2023,Mackenzie Blackwood,26,NJD,22,20,10,6,2,60,563,503,0.893,3.2,-60,0
2023,Brian Elliott,37,TBL,22,22,12,8,2,75,689,614,0.891,3.4,-75,2
2023,Thomas Greiss,37,STL,21,16,7,10,0,65,626,561,0.896,3.58,-65,1
2023,Spencer Knight,21,FLA,21,19,9,8,3,62,627,565,0.901,3.18,-62,1
2023,David Rittich,30,WPG,21,18,9,8,1,50,506,456,0.901,2.67,-50,0
2023,Scott Wedgewood,30,DAL,21,18,9,8,3,51,603,552,0.915,2.72,-51,1
2023,Collin Delia,28,VAN,20,18,10,6,2,62,526,464,0.882,3.28,-62,0
2023,Felix Sandström,26,PHI,20,18,3,12,3,69,575,506,0.88,3.72,-69,0
2023,Eric Comrie,27,BUF,19,19,9,9,1,68,594,526,0.886,3.67,-68,1
2023,Lukáš Dostál,22,ANA,19,17,4,10,3,67,679,612,0.901,3.78,-67,0
2023,Kevin Lankinen,27,NSH,19,18,9,8,1,49,583,534,0.916,2.75,-49,0
2023,Anthony Stolarz,29,ANA,19,12,5,6,0,51,494,443,0.897,3.73,-51,0
2023,Mads Søgaard,22,OTT,19,17,8,6,3,58,524,466,0.889,3.32,-58,0
2023,Akira Schmid,22,NJD,18,14,9,5,2,32,408,376,0.922,2.13,-32,1
2023,Magnus Hellberg,31,2TM,18,14,5,8,1,50,447,397,0.888,3.2,-50,0
2023,Magnus Hellberg,31,OTT,1,1,1,0,0,2,31,29,0.935,2.0,-2,0
2023,Magnus Hellberg,31,DET,17,13,4,8,1,48,416,368,0.885,3.29,-48,0
