season,name,age,team,position,games_played,goals,assists,points,plus_minus,penalty_minutes,even_strength_goals,power_play_goals,power_play_points,short_handed_goals,short_handed_points,game_winning_goals,shots,shooting_percentage,time_on_ice,hits,blocked_shots,face_off_percentage,face_off_wins
2026,Connor McDavid,29,EDM,C,82,48,90,138,17,44,34,13,54,1,2,4,306,15.7,1884.8,40,30,49.5,457
2026,Nikita Kucherov,32,TBL,RW,76,44,86,130,43,50,35,8,37,1,1,8,231,19.0,1545.47,36,29,0.0,0
2026,Nathan MacKinnon,30,COL,C,80,53,74,127,57,39,42,11,30,0,0,7,350,15.1,1780.95,64,35,51.0,681
2026,Macklin Celebrini,19,SJS,F,82,45,70,115,8,44,37,8,33,0,0,5,287,15.7,1747.9,53,53,48.6,625
2026,Mark Scheifele,32,WPG,C,82,36,67,103,0,43,29,7,22,0,1,6,175,20.6,1763.33,32,47,46.7,594
2026,Nick Suzuki,26,MTL,C,82,29,72,101,37,28,17,11,43,1,1,2,183,15.8,1707.28,62,62,50.4,731
2026,Martin Nečas,27,COL,C,78,38,62,100,47,30,29,9,24,0,0,5,206,18.4,1676.92,85,26,42.9,9
2026,David Pastrňák,29,BOS,RW,77,29,71,100,4,72,19,10,33,0,0,4,261,11.1,1590.48,86,32,22.2,2
2026,Leon Draisaitl,30,EDM,C,65,35,62,97,13,26,18,16,42,1,1,3,186,18.8,1402.38,34,15,56.9,628
2026,Jason Robertson,26,DAL,LW,82,45,51,96,22,32,30,15,41,0,0,9,294,15.3,1660.75,48,34,33.3,1
2026,Evan Bouchard,26,EDM,D,82,21,74,95,25,30,14,7,33,0,2,5,221,9.5,2023.57,29,101,0.0,0
2026,Kyle Connor,29,WPG,LW,82,39,53,92,-2,16,32,5,19,2,3,5,274,14.2,1763.52,36,19,0.0,0
2026,Jack Eichel,29,VEG,C,74,27,63,90,23,18,25,1,28,1,3,6,260,10.4,1568.87,35,40,47.7,558
2026,Kirill Kaprizov,28,MIN,LW,78,45,44,89,10,28,26,19,32,0,0,7,268,16.8,1727.45,52,27,0.0,0
2026,Cole Caufield,25,MTL,RW,81,51,37,88,29,14,40,11,29,0,0,12,258,19.8,1472.87,50,21,33.3,6
2026,Jake Guentzel,31,TBL,C,81,38,50,88,13,61,28,8,30,2,2,5,220,17.3,1639.92,39,41,47.8,209
2026,Clayton Keller,27,UTA,C,82,26,62,88,20,38,23,3,27,0,0,6,225,11.6,1564.98,8,32,38.2,13
2026,Wyatt Johnston,22,DAL,C,82,45,41,86,-5,32,18,27,42,0,0,4,206,21.8,1650.12,56,55,47.6,402
2026,Matt Boldy,24,MIN,LW,76,42,43,85,18,30,27,11,30,4,4,3,254,16.5,1563.25,60,58,44.4,55
2026,Alex DeBrincat,28,DET,RW,82,41,44,85,8,19,26,15,23,0,0,6,287,14.3,1517.02,38,39,38.0,19
2026,Artemi Panarin,34,2TM,LW,78,28,56,84,-7,20,24,4,23,0,0,4,224,12.5,1625.7,11,16,100.0,1
2026,Tim Stützle,24,OTT,LW,80,34,49,83,7,39,23,9,29,2,2,5,194,17.5,1621.4,126,44,53.0,338
2026,Tage Thompson,28,BUF,C,81,40,41,81,-6,35,34,6,24,0,1,5,272,14.7,1558.73,85,48,45.5,390
2026,Zach Werenski,28,CBJ,D,75,22,59,81,7,18,18,4,21,0,1,2,260,8.5,1996.07,30,94,0.0,0
2026,Sebastian Aho,28,CAR,F,79,27,53,80,11,46,18,7,27,2,6,4,195,13.8,1549.38,63,23,50.5,596
2026,Mitch Marner,28,VEG,RW,81,24,56,80,17,24,19,5,24,0,1,2,165,14.5,1616.57,24,46,40.3,150
2026,Cale Makar,27,COL,D,75,20,59,79,32,24,16,4,29,0,0,4,199,10.1,1864.37,35,117,0.0,0
2026,William Nylander,29,TOR,RW,65,30,49,79,-14,16,23,7,22,0,0,4,156,19.2,1262.02,13,26,38.3,31
2026,Lane Hutson,21,MTL,D,82,12,66,78,36,34,10,2,20,0,0,3,124,9.7,1949.32,31,137,0.0,0
2026,Mika Zibanejad,32,NYR,C,81,34,44,78,-20,14,16,16,35,2,2,3,215,15.8,1692.7,105,50,52.5,574
2026,Jack Hughes,24,NJD,C,61,27,50,77,0,10,22,4,23,1,2,5,229,11.8,1300.25,4,32,34.8,145
2026,Mikko Rantanen,29,DAL,RW,64,22,55,77,0,93,16,6,34,0,0,1,139,15.8,1291.25,48,30,44.0,37
