name,percentile_rank,percentile_total,wins_percentile,saves_percentile,save_percentage_percentile,goals_against_average_percentile,wins,saves,save_percentage,goals_against_average
Andrei Vasilevskiy,1.0,368.87755102040813,100.0,90.81632653061224,86.73469387755102,91.3265306122449,39,1350,0.911,2.31
Logan Thompson,2.0,366.83673469387753,95.40816326530613,97.95918367346938,88.77551020408163,84.6938775510204,31,1447,0.912,2.44
Scott Wedgewood,3.0,358.1632653061225,95.40816326530613,73.46938775510205,93.36734693877551,95.91836734693877,31,1008,0.921,2.02
Igor Shesterkin,4.0,341.8367346938776,82.6530612244898,87.75510204081633,88.77551020408163,82.6530612244898,25,1299,0.912,2.5
Daniel Vladař,5.0,335.2040816326531,90.3061224489796,82.6530612244898,73.9795918367347,88.26530612244898,29,1162,0.906,2.42
Jeremy Swayman,6.0,333.1632653061224,95.40816326530613,95.91836734693877,77.04081632653062,64.79591836734694,31,1425,0.907,2.71
Jet Greaves,7.0,332.1428571428571,83.6734693877551,93.87755102040816,79.59183673469387,75.0,26,1395,0.908,2.6
Ilya Sorokin,8.0,326.0204081632653,90.3061224489796,92.85714285714286,73.9795918367347,68.87755102040816,29,1386,0.906,2.68
Jake Oettinger,9.0,323.46938775510205,97.95918367346938,85.71428571428571,62.755102040816325,77.04081632653062,35,1234,0.899,2.59
Joel Hofer,10.0,319.8979591836735,81.63265306122449,81.63265306122449,83.6734693877551,72.95918367346938,24,1136,0.909,2.61
Karel Vejmelka,11.0,315.3061224489796,98.9795918367347,98.9795918367347,57.14285714285714,60.204081632653065,38,1456,0.896,2.75
Filip Gustavsson,12.0,309.6938775510204,86.73469387755102,86.73469387755102,69.38775510204081,66.83673469387756,28,1243,0.903,2.69
John Gibson,13.0,308.1632653061224,90.3061224489796,88.77551020408163,65.81632653061224,63.26530612244898,29,1317,0.901,2.72
Ukko-Pekka Luukkonen,14.0,304.0816326530612,75.51020408163265,64.28571428571429,83.6734693877551,80.61224489795919,22,844,0.909,2.52
Jesper Wallstedt,15.0,301.53061224489795,67.3469387755102,70.40816326530613,90.81632653061224,72.95918367346938,18,933,0.915,2.61
Mackenzie Blackwood,16.0,294.8979591836735,78.57142857142857,63.26530612244898,71.42857142857143,81.63265306122449,23,843,0.904,2.51
Brandon Bussi,17.0,290.81632653061223,95.40816326530613,61.224489795918366,50.51020408163265,83.6734693877551,31,814,0.894,2.47
Anton Forsberg,18.0,290.3061224489796,62.755102040816325,65.3061224489796,83.6734693877551,78.57142857142857,16,865,0.909,2.57
Spencer Knight,19.0,289.7959183673469,70.40816326530613,96.93877551020408,67.3469387755102,55.10204081632652,19,1428,0.902,2.82
Jakub Dobes,20.0,288.2653061224489,90.3061224489796,75.51020408163265,65.81632653061224,56.63265306122449,29,1070,0.901,2.78
Dustin Wolf,21.0,282.14285714285717,78.57142857142857,94.89795918367348,62.755102040816325,45.91836734693878,23,1400,0.899,3.01
Connor Hellebuyck,22.0,278.06122448979596,78.57142857142857,91.83673469387756,54.08163265306123,53.57142857142857,23,1385,0.895,2.86
Casey DeSmith,23.0,275.0,59.693877551020414,52.04081632653062,77.04081632653062,86.22448979591837,15,689,0.907,2.43
Alex Lyon,24.0,272.44897959183675,72.95918367346938,67.3469387755102,73.9795918367347,58.16326530612245,20,886,0.906,2.77
Juuse Saros,25.0,267.85714285714283,86.73469387755102,100.0,50.51020408163265,30.612244897959183,28,1520,0.894,3.16
Philipp Grubauer,26.0,267.34693877551024,53.06122448979592,60.204081632653065,83.6734693877551,70.40816326530613,13,787,0.909,2.65
Linus Ullmark,27.0,266.8367346938776,86.73469387755102,74.48979591836735,43.36734693877551,62.244897959183675,28,1067,0.891,2.73
Jake Allen,28.0,265.3061224489796,65.3061224489796,69.38775510204081,69.38775510204081,61.224489795918366,17,931,0.903,2.74
Joey Daccord,29.0,258.6734693877551,72.95918367346938,83.6734693877551,57.14285714285714,44.89795918367347,20,1171,0.896,3.03
Lukáš Dostál,30.0,255.61224489795921,92.85714285714286,89.79591836734694,38.265306122448976,34.69387755102041,30,1344,0.888,3.1
Devin Cooley,31.0,253.06122448979593,43.36734693877551,59.183673469387756,83.6734693877551,66.83673469387756,10,770,0.909,2.69
Connor Ingram,32.0,251.53061224489795,62.755102040816325,51.02040816326531,62.755102040816325,75.0,16,686,0.899,2.6
Darcy Kuemper,33.0,248.9795918367347,70.40816326530613,78.57142857142857,43.36734693877551,56.63265306122449,19,1100,0.891,2.78
Alex Nedeljkovic,34.0,247.9591836734694,67.3469387755102,71.42857142857143,57.14285714285714,52.04081632653062,18,940,0.896,2.87
Stuart Skinner,35.0,245.40816326530611,78.57142857142857,79.59183673469387,38.265306122448976,48.97959183673469,23,1125,0.888,2.92
Akira Schmid,36.0,240.81632653061223,62.755102040816325,54.08163265306123,46.93877551020408,77.04081632653062,16,706,0.893,2.59
Dylan Garand,37.0,237.75510204081633,22.448979591836736,19.387755102040817,97.95918367346938,97.95918367346938,2,91,0.948,1.62
Jacob Fowler,37.0,237.75510204081633,39.285714285714285,32.6530612244898,79.59183673469387,86.22448979591837,9,407,0.908,2.43
Clay Stevenson,38.0,236.73469387755102,26.02040816326531,20.408163265306122,93.36734693877551,96.93877551020408,3,93,0.921,2.0
Justus Annunen,39.0,234.18367346938774,43.36734693877551,47.95918367346938,73.9795918367347,68.87755102040816,10,644,0.906,2.68
Trent Miner,40.0,230.1020408163265,16.83673469387755,22.448979591836736,95.91836734693877,94.89795918367348,1,96,0.923,2.03
Sergei Bobrovsky,41.0,223.46938775510205,84.6938775510204,77.04081632653062,23.46938775510204,38.265306122448976,27,1096,0.877,3.07
Arsenii Sergeev,42.0,222.9591836734694,16.83673469387755,8.16326530612245,98.9795918367347,98.9795918367347,1,27,0.964,1.0
Drew Commesso,42.0,222.9591836734694,22.448979591836736,17.346938775510203,91.83673469387756,91.3265306122449,2,78,0.918,2.31
Joseph Woll,43.0,220.40816326530614,59.693877551020414,77.04081632653062,60.204081632653065,23.46938775510204,15,1096,0.898,3.34
Jacob Markström,44.0,219.89795918367346,78.57142857142857,72.44897959183673,30.612244897959183,38.265306122448976,23,983,0.883,3.07
Matt Murray,45.0,216.3265306122449,7.142857142857142,21.428571428571427,94.89795918367348,92.85714285714286,0,94,0.922,2.21
Arturs Silovs,46.0,213.77551020408163,70.40816326530613,68.36734693877551,36.734693877551024,38.265306122448976,19,906,0.887,3.07
David Rittich,47.0,213.26530612244898,56.63265306122449,46.93877551020408,50.51020408163265,59.183673469387756,14,643,0.894,2.76
Pyotr Kochetkov,48.0,210.71428571428572,31.63265306122449,26.53061224489796,62.755102040816325,89.79591836734694,6,170,0.899,2.33
Daniil Tarasov,48.0,210.71428571428572,53.06122448979592,62.244897959183675,54.08163265306123,41.3265306122449,13,828,0.895,3.05
Victor Ostman,49.0,208.6734693877551,7.142857142857142,10.714285714285714,96.93877551020408,93.87755102040816,0,33,0.943,2.1
Dennis Hildeby,50.0,208.67346938775506,28.57142857142857,37.755102040816325,88.77551020408163,53.57142857142857,5,500,0.912,2.86
Michael DiPietro,51.0,208.16326530612247,7.142857142857142,1.0204081632653061,100.0,100.0,0,2,1.0,0.0
Yaroslav Askarov,52.0,205.10204081632654,74.48979591836735,84.6938775510204,30.612244897959183,15.306122448979592,21,1184,0.883,3.63
Joonas Korpisalo,53.0,196.93877551020407,56.63265306122449,58.16326530612245,50.51020408163265,31.63265306122449,14,761,0.894,3.15
Nico Daws,54.0,191.83673469387753,22.448979591836736,18.367346938775512,79.59183673469387,71.42857142857143,2,79,0.908,2.62
Colten Ellis,55.0,189.79591836734693,36.224489795918366,33.6734693877551,69.38775510204081,50.51020408163265,8,411,0.903,2.9
Carter Hart,56.0,186.73469387755102,47.95918367346938,30.612244897959183,43.36734693877551,64.79591836734694,11,376,0.891,2.71
James Reimer,57.0,186.22448979591837,33.6734693877551,28.57142857142857,35.714285714285715,88.26530612244898,7,256,0.886,2.42
Frederik Andersen,58.0,182.6530612244898,62.755102040816325,57.14285714285714,21.428571428571427,41.3265306122449,16,742,0.874,3.05
Sergei Murashov,59.0,179.0816326530612,16.83673469387755,23.46938775510204,59.183673469387756,79.59183673469387,1,105,0.897,2.56
Thatcher Demko,60.0,176.53061224489795,36.224489795918366,35.714285714285715,54.08163265306123,50.51020408163265,8,460,0.895,2.9
Tristan Jarry,61.0,176.53061224489792,67.3469387755102,56.12244897959183,27.55102040816326,25.510204081632654,18,732,0.882,3.32
Eric Comrie,62.0,166.3265306122449,50.51020408163265,42.857142857142854,40.30612244897959,32.6530612244898,12,582,0.89,3.13
Kevin Lankinen,63.0,164.28571428571428,47.95918367346938,80.61224489795919,22.448979591836736,13.26530612244898,11,1126,0.876,3.7
Anthony Stolarz,64.0,163.77551020408163,43.36734693877551,45.91836734693878,46.93877551020408,27.55102040816326,10,632,0.893,3.28
Cam Talbot,64.0,163.77551020408163,50.51020408163265,53.06122448979592,30.612244897959183,29.591836734693878,12,704,0.883,3.19
Elvis Merzļikins,65.0,163.7755102040816,56.63265306122449,55.10204081632652,30.612244897959183,21.428571428571427,14,717,0.883,3.4
Jordan Binnington,66.0,163.26530612244898,53.06122448979592,66.3265306122449,19.387755102040817,24.489795918367346,13,882,0.873,3.33
Jonathan Quick,67.0,155.6122448979592,31.63265306122449,44.89795918367347,43.36734693877551,35.714285714285715,6,598,0.891,3.09
Samuel Ersson,68.0,154.08163265306123,56.63265306122449,48.97959183673469,14.795918367346939,33.6734693877551,14,647,0.87,3.12
Jonas Johansson,69.0,152.55102040816325,47.95918367346938,43.87755102040816,34.183673469387756,26.53061224489796,11,592,0.884,3.29
Ville Husso,70.0,142.85714285714286,43.36734693877551,36.734693877551024,34.183673469387756,28.57142857142857,10,472,0.884,3.25
Vítek Vaněček,71.0,141.83673469387753,28.57142857142857,34.69387755102041,30.612244897959183,47.95918367346938,5,445,0.883,2.93
Adin Hill,72.0,140.30612244897958,43.36734693877551,38.775510204081634,14.795918367346939,43.36734693877551,10,510,0.87,3.04
Sam Montembeault,73.0,125.0,43.36734693877551,41.83673469387755,19.387755102040817,20.408163265306122,10,555,0.873,3.43
Arvid Söderblom,74.0,123.9795918367347,36.224489795918366,50.0,25.510204081632654,12.244897959183673,8,681,0.88,3.8
Charlie Lindgren,75.0,121.9387755102041,39.285714285714285,40.816326530612244,24.489795918367346,17.346938775510203,9,529,0.879,3.52
Niklas Kokko,76.0,116.83673469387756,16.83673469387755,16.3265306122449,40.30612244897959,43.36734693877551,1,73,0.89,3.04
Nikita Tolopilo,77.0,114.28571428571429,31.63265306122449,39.795918367346935,26.53061224489796,16.3265306122449,6,513,0.881,3.61
Carl Lindbom,77.0,114.28571428571429,22.448979591836736,25.510204081632654,19.387755102040817,46.93877551020408,2,165,0.873,3.0
Pheonix Copley,78.0,99.48979591836735,7.142857142857142,7.142857142857142,46.93877551020408,38.265306122448976,0,25,0.893,3.07
Leevi Merilainen,79.0,97.44897959183675,36.224489795918366,31.63265306122449,11.224489795918368,18.367346938775512,8,393,0.86,3.51
Calvin Pickard,80.0,89.28571428571428,28.57142857142857,29.591836734693878,16.83673469387755,14.285714285714285,5,357,0.871,3.68
Petr Mrázek,81.0,73.97959183673468,26.02040816326531,27.55102040816326,10.204081632653061,10.204081632653061,3,212,0.858,4.07
Spencer Martin,82.0,62.755102040816325,16.83673469387755,24.489795918367346,12.244897959183673,9.183673469387756,1,126,0.863,4.13
Thomas Milic,83.0,56.63265306122449,7.142857142857142,13.26530612244898,16.83673469387755,19.387755102040817,0,54,0.871,3.46
Cayden Primeau,84.0,53.06122448979592,22.448979591836736,14.285714285714285,9.183673469387756,7.142857142857142,2,67,0.838,4.3
Hunter Shepard,85.0,40.816326530612244,7.142857142857142,3.571428571428571,7.653061224489796,22.448979591836736,0,10,0.833,3.35
Artur Akhtyamov,86.0,40.81632653061224,7.142857142857142,15.306122448979592,13.26530612244898,5.1020408163265305,0,70,0.864,5.24
Mads Søgaard,87.0,39.795918367346935,16.83673469387755,9.183673469387756,7.653061224489796,6.122448979591836,1,30,0.833,4.65
Aleksei Kolosov,88.0,36.73469387755102,7.142857142857142,12.244897959183673,6.122448979591836,11.224489795918368,0,39,0.83,4.0
Jiří Patera,89.0,26.0204081632653,7.142857142857142,10.714285714285714,5.1020408163265305,3.061224489795918,0,33,0.825,7.39
Brandon Halverson,90.0,25.0,7.142857142857142,5.612244897959184,4.081632653061225,8.16326530612245,0,17,0.81,4.22
