name,position,percentile_rank,percentile_total,goals_percentile,assists_percentile,power_play_points_percentile,hits_percentile,blocked_shots_percentile,face_off_wins_percentile,shots_percentile,goals,assists,power_play_points,hits,blocked_shots,face_off_wins,shots
Vincent Trocheck,C,1.0,646.64,94.24,91.36,90.28,98.24000000000001,86.2,99.83999999999999,86.48,26,33,5,214,78,910,7
Sam Reinhart,C,2.0,645.0,99.28,95.8,98.96000000000001,84.6,81.0,88.56,96.8,39,42,13,103,62,212,17
J.T. Miller,C,3.0,643.3999999999999,91.44,97.32,90.28,95.48,74.08,98.0,96.8,22,48,5,168,50,628,17
Mark Scheifele,C,4.0,640.24,99.28,97.32,97.76,73.72,79.60000000000001,97.92,94.64,39,48,11,73,60,627,14
Aleksander Barkov,C,5.0,634.4399999999999,88.88000000000001,97.72,96.32,80.04,76.52,97.04,97.92,20,51,9,87,54,580,19
Nick Suzuki,C,6.0,633.8000000000001,96.64,99.0,87.0,69.56,84.04,98.72,98.83999999999999,30,59,4,63,70,680,23
Auston Matthews,C,7.0,632.56,97.84,96.6,97.11999999999999,58.120000000000005,88.6,98.88,95.39999999999999,33,45,10,45,89,695,15
Tomáš Hertl,C,8.0,631.84,97.48,88.2,99.44,83.12,77.72,96.39999999999999,89.48,32,29,14,99,56,536,9
Tim Stützle,LW,9.0,630.44,92.92,98.52,90.28,90.96,70.19999999999999,87.96000000000001,99.6,24,55,5,130,45,195,28
John Tavares,C,10.0,630.28,99.11999999999999,93.32000000000001,98.44000000000001,81.56,70.19999999999999,99.52,88.12,38,36,12,92,45,762,8
Sidney Crosby,C,11.0,627.76,97.84,98.88,98.44000000000001,71.12,66.08000000000001,100.0,95.39999999999999,33,58,12,67,39,1016,15
Rickard Rakell,RW,12.0,626.64,98.36,92.88,96.32,88.24,85.8,74.16,90.88000000000001,35,35,9,116,77,19,10
Nathan MacKinnon,C,13.0,623.8,97.48,99.96000000000001,96.32,52.480000000000004,78.52,99.28,99.76,32,84,9,38,58,756,29
Nico Hischier,C,14.0,622.28,98.36,92.2,99.44,57.36,79.60000000000001,99.92,95.39999999999999,35,34,14,44,60,987,15
Elias Lindholm,C,15.0,620.64,85.64,89.0,79.67999999999999,87.6,86.4,99.36,92.96,17,30,2,114,79,759,12
Dylan Holloway,C,16.0,617.24,94.24,93.64,92.80000000000001,95.32000000000001,74.08,80.67999999999999,86.48,26,37,6,165,50,61,7
Tom Wilson,RW,17.0,617.0799999999999,97.84,90.64,97.76,98.88,84.28,62.92,84.76,33,32,11,233,71,5,6
Filip Forsberg,C,18.0,616.84,97.11999999999999,96.6,97.11999999999999,93.84,75.32,60.760000000000005,96.08,31,45,10,151,52,4,16
Dylan Cozens,C,19.0,616.4,84.64,89.84,90.28,97.84,70.19999999999999,97.11999999999999,86.48,16,31,5,205,45,587,7
Brady Tkachuk,LW,20.0,615.88,96.16,85.48,99.44,98.76,59.64,86.92,89.48,29,26,14,228,33,178,9
Seth Jarvis,C,21.0,614.12,97.48,92.88,94.32000000000001,81.88,74.92,79.67999999999999,92.96,32,35,7,93,51,52,12
Pierre-Luc Dubois,LW,22.0,612.12,88.88000000000001,96.96000000000001,87.0,70.44,81.0,96.96000000000001,90.88000000000001,20,46,4,65,62,577,10
Brayden Schenn,C,23.0,612.04,86.4,90.64,79.67999999999999,97.32,77.2,97.76,83.04,18,32,2,194,55,618,5
Sam Bennett,C,24.0,611.88,93.56,85.48,94.32000000000001,92.92,70.19999999999999,94.88,80.52,25,26,7,145,45,450,4
Elias Pettersson,C,25.0,611.24,83.0,89.0,94.32000000000001,74.4,85.8,95.24000000000001,89.48,15,30,7,74,77,458,9
Mikael Granlund,C,26.0,610.8000000000001,91.44,96.36,90.28,65.92,79.60000000000001,92.56,94.64,22,44,5,57,60,359,14
Alex Tuch,RW,27.0,610.4,98.76,89.84,83.91999999999999,73.72,93.84,82.19999999999999,88.12,36,31,3,73,113,77,8
Wyatt Johnston,C,28.0,609.64,97.84,94.16,97.76,58.120000000000005,71.67999999999999,95.44,94.64,33,38,11,45,47,465,14
Roope Hintz,LW,29.0,608.7199999999999,95.76,94.88,94.32000000000001,63.63999999999999,71.08,95.24000000000001,93.8,28,39,7,53,46,458,13
Drake Batherson,C,30.0,607.5600000000001,94.24,95.8,98.96000000000001,93.44,56.92,70.72,97.48,26,42,13,149,30,12,18
Matt Boldy,LW,31.0,607.48,95.08,96.96000000000001,92.80000000000001,63.080000000000005,83.84,80.32000000000001,95.39999999999999,27,46,6,52,69,58,15
Dylan Strome,C,32.0,606.0400000000001,96.16,98.24000000000001,96.32,40.8,76.52,98.8,99.2,29,53,9,23,54,691,25
Travis Konecny,RW,33.0,604.44,92.92,98.0,95.44,82.19999999999999,68.24,78.16,89.48,24,52,8,94,42,39,9
Mikko Rantanen,RW,34.0,604.4,97.48,98.72,97.76,60.12,69.39999999999999,85.52,95.39999999999999,32,56,11,48,44,135,15
Sebastian Aho,F,35.0,603.24,96.16,96.6,90.28,67.32000000000001,56.92,98.48,97.48,29,45,5,59,30,663,18
Anže Kopitar,C,36.0,603.12,90.4,96.96000000000001,87.0,48.28,83.24000000000001,99.76,97.48,21,46,4,31,67,879,18
Dylan Larkin,C,37.0,602.2800000000001,96.64,95.36,98.96000000000001,57.36,59.64,99.68,94.64,30,40,13,44,33,871,14
Timo Meier,RW,38.0,602.24,94.24,86.32,94.32000000000001,92.75999999999999,82.36,67.47999999999999,84.76,26,27,7,141,65,8,6
Steven Stamkos,C,39.0,602.08,95.08,85.48,99.44,70.76,71.08,93.76,86.48,27,26,14,66,46,395,7
Marco Rossi,C,40.0,601.96,92.92,93.32000000000001,94.32000000000001,69.04,67.52,95.36,89.48,24,36,7,62,41,464,9
Macklin Celebrini,F,41.0,601.48,93.56,94.16,95.44,51.959999999999994,75.8,95.92,94.64,25,38,8,37,53,507,14
Nazem Kadri,C,42.0,599.6,98.36,90.64,96.32,64.92,56.92,98.64,93.8,35,32,9,55,30,677,13
Jack Eichel,C,43.0,599.36,95.76,99.6,90.28,39.879999999999995,77.2,96.88,99.76,28,66,5,22,55,572,29
Brayden Point,C,44.0,598.68,99.6,95.36,99.88,43.919999999999995,70.19999999999999,94.32000000000001,95.39999999999999,42,40,16,26,45,430,15
Bo Horvat,C,45.0,598.52,95.76,88.2,83.91999999999999,83.6,66.92,99.6,80.52,28,29,3,100,40,767,4
Logan Cooley,C,46.0,597.52,93.56,95.36,94.32000000000001,69.56,58.68,92.24,93.8,25,40,7,63,32,340,13
Connor Bedard,C,47.0,597.16,92.24,96.36,97.76,59.48,64.2,89.64,97.48,23,44,11,47,37,251,18
