name,position,overall_rank,wins_rank,saves_rank,save_percentage_rank,goals_against_average_rank
Logan Thompson,G,1.0,4.0,3.0,10.0,13.0
Andrei Vasilevskiy,G,2.0,1.0,10.0,11.0,9.0
Scott Wedgewood,G,3.0,4.0,26.0,7.0,5.0
Igor Shesterkin,G,4.0,10.0,13.0,10.0,15.0
Jeremy Swayman,G,5.0,4.0,5.0,14.0,27.0
Daniel Vladař,G,5.0,6.0,18.0,15.0,11.0
Jet Greaves,G,5.0,9.0,7.0,13.0,21.0
Ilya Sorokin,G,6.0,6.0,8.0,15.0,25.0
Jake Oettinger,G,7.0,3.0,15.0,20.0,20.0
Karel Vejmelka,G,7.0,2.0,2.0,23.0,31.0
Filip Gustavsson,G,8.0,7.0,14.0,17.0,26.0
Joel Hofer,G,8.0,11.0,19.0,12.0,22.0
John Gibson,G,9.0,6.0,12.0,19.0,28.0
Spencer Knight,G,10.0,16.0,4.0,18.0,35.0
Ukko-Pekka Luukkonen,G,11.0,13.0,35.0,12.0,17.0
Jesper Wallstedt,G,11.0,17.0,29.0,9.0,22.0
Mackenzie Blackwood,G,12.0,12.0,36.0,16.0,16.0
Dustin Wolf,G,12.0,12.0,6.0,20.0,42.0
Brandon Bussi,G,13.0,4.0,38.0,25.0,14.0
Connor Hellebuyck,G,13.0,12.0,9.0,24.0,36.0
Jakub Dobes,G,14.0,6.0,24.0,19.0,34.0
Anton Forsberg,G,15.0,19.0,34.0,12.0,19.0
Juuse Saros,G,16.0,7.0,1.0,25.0,52.0
Linus Ullmark,G,17.0,7.0,25.0,27.0,29.0
Casey DeSmith,G,18.0,20.0,47.0,14.0,12.0
Lukáš Dostál,G,18.0,5.0,11.0,29.0,48.0
Jake Allen,G,19.0,18.0,30.0,17.0,30.0
Alex Lyon,G,19.0,15.0,32.0,15.0,33.0
Philipp Grubauer,G,20.0,22.0,39.0,12.0,24.0
Joey Daccord,G,21.0,15.0,17.0,23.0,43.0
Darcy Kuemper,G,22.0,16.0,22.0,27.0,34.0
Stuart Skinner,G,23.0,12.0,21.0,29.0,39.0
Devin Cooley,G,24.0,25.0,40.0,12.0,26.0
Alex Nedeljkovic,G,25.0,17.0,28.0,23.0,37.0
Connor Ingram,G,26.0,19.0,48.0,20.0,21.0
Akira Schmid,G,27.0,19.0,45.0,26.0,20.0
Sergei Bobrovsky,G,28.0,8.0,23.0,38.0,46.0
