name,rank,total,games_played,wins,saves,save_percentage,goals_against_average,wins_score,saves_score,save_percentage_score,goals_against_average_score
Andrei Vasilevskiy,1.0,374.6424363059497,58,39,1350,0.911,2.31,99.51530119413852,87.27102132137665,91.42371170473936,96.43240208569509
Logan Thompson,2.0,371.92774724618425,58,31,1447,0.912,2.44,91.69671174032602,95.59712131488715,93.3860985804032,91.24781561056791
Scott Wedgewood,3.0,345.0172492247125,45,31,1008,0.921,2.02,91.69671174032602,54.68314123035927,99.03429631493611,99.60309993909104
Igor Shesterkin,4.0,336.00581731598743,51,25,1299,0.912,2.5,71.79792043017717,82.97604925232255,93.3860985804032,87.84574905308449
Jeremy Swayman,5.0,333.276870295181,55,31,1425,0.907,2.71,91.69671174032602,93.45754340674611,81.54258654906167,66.58002859904724
Daniel Vladař,6.0,328.65206520648803,52,29,1162,0.906,2.42,85.08963415894583,72.19961731667304,77.92318242512515,93.43963130574403
Jet Greaves,7.0,328.27239705100976,55,26,1395,0.908,2.6,74.64551373543041,91.06708396141943,83.81231106554668,78.7474882886132
Ilya Sorokin,8.0,323.99697730836203,55,29,1386,0.906,2.68,85.08963415894583,89.98971400846523,77.92318242512515,70.99444671582583
Jake Oettinger,9.0,316.4063623879667,54,35,1234,0.899,2.59,96.66089260880321,78.5074598705817,60.39498167240909,80.8430282361727
Karel Vejmelka,10.0,308.51272853108213,64,38,1456,0.896,2.75,98.48094663408696,96.61152295397861,52.25365680118706,61.16660214182953
Joel Hofer,11.0,302.54430502863124,46,24,1136,0.909,2.61,68.79673505490962,69.83016552494196,87.27443514921691,76.64296929956274
John Gibson,12.0,300.3262336991309,57,29,1317,0.901,2.72,85.08963415894583,84.4838743451065,65.51673841842103,65.23598677665757
Filip Gustavsson,13.0,300.11364964989343,50,28,1243,0.903,2.69,80.66360827476396,79.77532389885644,70.85077534752983,68.8239421287432
Ukko-Pekka Luukkonen,14.0,267.9196319202713,35,22,844,0.909,2.52,59.04460801768326,36.092934442825694,87.27443514921691,85.50765431054543
Jakub Dobes,15.0,267.80280112093544,43,29,1070,0.901,2.78,85.08963415894583,60.571859025976075,65.51673841842103,56.62456951759252
Spencer Knight,16.0,263.18047545155594,55,19,1428,0.902,2.82,47.40484328664283,94.36878824843842,68.21382053842888,53.1930233780458
Jesper Wallstedt,17.0,262.38194177325624,35,18,933,0.915,2.61,42.436943767918535,46.98159611560246,96.32043259017249,76.64296929956274
Mackenzie Blackwood,18.0,259.2579367480977,39,23,843,0.904,2.51,63.970869444068285,35.1840383535847,73.42163974623986,86.68138920420483
Brandon Bussi,19.0,257.41526801834846,39,31,814,0.894,2.47,91.69671174032602,31.75441628015504,44.37610600001953,89.58803399784784
Dustin Wolf,20.0,255.80186289976774,57,23,1400,0.899,3.01,63.970869444068285,92.03794026806989,60.39498167240909,39.398071515220465
Connor Hellebuyck,21.0,251.75255309019946,57,23,1385,0.895,2.86,63.970869444068285,89.11608433865476,48.52470267308057,50.14089663439586
Juuse Saros,22.0,244.73572994027734,59,28,1520,0.894,3.16,80.66360827476396,98.42250797575831,44.37610600001953,21.273507689735546
Anton Forsberg,23.0,242.46610852142794,36,16,865,0.909,2.57,34.05018362797302,38.2533757938909,87.27443514921691,82.88811395034712
Linus Ullmark,24.0,239.09856516997291,49,28,1067,0.891,2.73,80.66360827476396,59.526115383128015,35.0233169776083,63.88552453447262
Lukáš Dostál,25.0,229.7742855327247,56,30,1344,0.888,3.1,88.4826873682376,86.2361697800817,27.74975577698189,27.3056726074235
Alex Lyon,26.0,229.64522857745402,36,20,886,0.906,2.77,51.9952672504721,41.30086111425284,77.92318242512515,58.42591778760395
Casey DeSmith,27.0,221.19584310601476,30,15,689,0.907,2.43,29.419189396937224,17.885950714209535,81.54258654906167,92.34811644580634
Jake Allen,28.0,217.77636567753072,37,17,931,0.903,2.74,38.39844849822204,45.998187455264315,70.85077534752983,62.52895437651451
Joey Daccord,29.0,215.3184620456467,47,20,1171,0.896,3.03,51.9952672504721,73.55507681054492,52.25365680118706,37.51446118344261
Philipp Grubauer,30.0,210.53590876612418,32,13,787,0.909,2.65,20.234585115391802,29.380585413235742,87.27443514921691,73.64630308827972
Stuart Skinner,31.0,204.30391004304107,50,23,1125,0.888,2.92,63.970869444068285,67.4684562323533,27.74975577698189,45.11482858963758
Darcy Kuemper,32.0,204.11268976054657,50,19,1100,0.891,2.78,47.40484328664283,65.05995997870289,35.0233169776083,56.62456951759252
Devin Cooley,33.0,193.03630913626512,31,10,770,0.909,2.69,9.318171232352991,27.619760625952022,87.27443514921691,68.8239421287432
Alex Nedeljkovic,34.0,191.735200011485,40,18,940,0.896,2.87,42.436943767918535,48.30612693420062,52.25365680118706,48.738472508178816
Connor Ingram,35.0,190.1084268842853,32,16,686,0.899,2.6,34.05018362797302,16.915773295290002,60.39498167240909,78.7474882886132
Sergei Bobrovsky,36.0,181.50240207145873,52,27,1096,0.877,3.07,77.32193719457443,63.53358819370848,9.370439416572594,31.276437266603224
Akira Schmid,37.0,175.43612208397477,34,16,706,0.893,2.59,34.05018362797302,20.300916658378394,40.241993561450656,80.8430282361727
Justus Annunen,38.0,171.02724008304642,28,10,644,0.906,2.68,9.318171232352991,12.791439709742454,77.92318242512515,70.99444671582583
Jacob Markström,39.0,165.03104787215165,44,23,983,0.883,3.07,63.970869444068285,52.11162228914214,17.67211887233799,31.276437266603224
Joseph Woll,40.0,160.30778415931712,39,15,1096,0.898,3.34,29.419189396937224,63.53358819370848,57.139665129199926,10.215341439471512
Yaroslav Askarov,41.0,152.02914152874473,47,21,1184,0.883,3.63,55.746678388400724,75.11825537372687,17.67211887233799,3.492088894279151
Arturs Silovs,42.0,147.31282046235833,39,19,906,0.887,3.07,47.40484328664283,43.46766636935754,25.16387353975472,31.276437266603224
David Rittich,43.0,141.03462504300643,30,14,643,0.894,2.76,24.95033032179664,11.909382323261298,44.37610600001953,59.79880639792894
Daniil Tarasov,44.0,136.5696327539528,33,13,828,0.895,3.05,20.234585115391802,33.42767775199371,48.52470267308057,34.38266721348671
Joonas Korpisalo,45.0,118.17097688120025,31,14,761,0.894,3.15,24.95033032179664,26.304372092190377,44.37610600001953,22.54016846719369
Frederik Andersen,46.0,99.2785413396148,35,16,742,0.874,3.05,34.05018362797302,24.505631930355158,6.340058567799913,34.38266721348671
Tristan Jarry,47.0,92.65751289940614,33,18,732,0.882,3.32,42.436943767918535,23.177826962735047,14.616391207634333,12.426350961118214
Kevin Lankinen,48.0,92.15038657962909,47,11,1126,0.876,3.7,13.478715996330626,68.37706271994003,8.019582723119873,2.275025140238572
Eric Comrie,49.0,79.3096061789865,25,12,582,0.89,3.13,16.551314407853194,6.667566834448431,31.8387446166779,24.251980320006975
Jordan Binnington,50.0,76.47496370345763,41,13,882,0.873,3.33,20.234585115391802,40.1929973397325,4.73098907036763,11.316392177965694
Anthony Stolarz,51.0,75.51296903790866,26,10,632,0.893,3.28,9.318171232352991,10.690577609076179,40.241993561450656,15.262226635028835
Jonathan Quick,52.0,75.20950342091743,25,6,598,0.891,3.09,2.7640932743561937,8.80025295787162,35.0233169776083,28.621840211081306
Cam Talbot,53.0,72.81199585629263,34,12,704,0.883,3.19,16.551314407853194,19.36657384462447,17.67211887233799,19.22198873147697
Elvis Merzļikins,54.0,72.28551107878509,30,14,717,0.883,3.4,24.95033032179664,21.636579268132838,17.67211887233799,8.026482616517624
Samuel Ersson,55.0,66.51761342874944,33,14,647,0.87,3.12,24.95033032179664,13.743542459144773,2.279485024884665,25.544255622923362
Jonas Johansson,56.0,56.18586026953933,25,11,592,0.884,3.29,13.478715996330626,7.784760155868468,20.806658147083834,14.115725970256408
Adin Hill,57.0,51.13984565529715,27,10,510,0.87,3.04,9.318171232352991,3.384801198449055,2.279485024884665,36.15738819961044
Arvid Söderblom,58.0,34.01173160855805,26,8,681,0.88,3.8,4.89903254878271,15.866679216130347,12.12827344413806,1.1177463995069354
Sam Montembeault,59.0,25.82093148813655,25,10,555,0.873,3.43,9.318171232352991,5.154181308909324,4.73098907036763,6.617589876506606
