name,position,overall_rank,goals_rank,assists_rank,power_play_points_rank,hits_rank,blocked_shots_rank,face_off_wins_rank,shots_rank
Vincent Trocheck,C,1.0,19.0,32.0,13.0,19.0,83.0,3.0,23.0
J.T. Miller,C,2.0,23.0,18.0,13.0,45.0,111.0,25.0,13.0
Brayden Schenn,C,3.0,27.0,33.0,16.0,29.0,106.0,28.0,25.0
Dylan Cozens,C,4.0,29.0,34.0,13.0,23.0,116.0,36.0,23.0
Elias Lindholm,C,5.0,28.0,35.0,16.0,89.0,82.0,9.0,18.0
Nick Suzuki,C,6.0,15.0,9.0,14.0,139.0,91.0,17.0,7.0
John Tavares,C,7.0,8.0,29.0,6.0,110.0,116.0,7.0,22.0
Auston Matthews,C,8.0,12.0,20.0,8.0,157.0,74.0,15.0,15.0
Sidney Crosby,C,8.0,12.0,10.0,6.0,135.0,122.0,1.0,15.0
Nathan MacKinnon,C,9.0,13.0,1.0,9.0,164.0,103.0,10.0,3.0
Mark Scheifele,C,10.0,7.0,18.0,7.0,129.0,101.0,26.0,16.0
Jean-Gabriel Pageau,C,11.0,31.0,37.0,16.0,64.0,104.0,35.0,27.0
Nic Dowd,C,12.0,31.0,52.0,18.0,75.0,79.0,32.0,30.0
Adam Lowry,LW,13.0,29.0,47.0,18.0,64.0,101.0,30.0,30.0
Jordan Staal,C,13.0,32.0,42.0,18.0,66.0,118.0,13.0,30.0
Aleksander Barkov,C,14.0,25.0,16.0,9.0,115.0,107.0,37.0,11.0
Nico Hischier,C,15.0,11.0,31.0,4.0,158.0,101.0,2.0,15.0
Bo Horvat,C,16.0,17.0,36.0,15.0,102.0,121.0,6.0,26.0
Tomáš Hertl,C,17.0,13.0,36.0,4.0,103.0,105.0,45.0,21.0
Sam Bennett,C,18.0,20.0,39.0,11.0,62.0,116.0,60.0,26.0
Jake Evans,C,19.0,32.0,42.0,18.0,79.0,101.0,33.0,30.0
Anže Kopitar,C,20.0,24.0,19.0,14.0,171.0,94.0,4.0,12.0
Noel Acciari,C,21.0,40.0,58.0,18.0,35.0,64.0,95.0,30.0
Phillip Danault,C,22.0,37.0,30.0,17.0,119.0,88.0,23.0,30.0
Dylan Strome,C,23.0,16.0,14.0,9.0,179.0,107.0,16.0,6.0
Anton Lundell,C,24.0,28.0,37.0,16.0,92.0,107.0,44.0,26.0
Dylan Larkin,C,25.0,15.0,25.0,5.0,158.0,128.0,5.0,16.0
Pierre-Luc Dubois,LW,25.0,25.0,19.0,14.0,137.0,99.0,38.0,20.0
Casey Cizikas,C,25.0,38.0,55.0,18.0,25.0,95.0,92.0,29.0
Michael McCarron,RW,26.0,40.0,56.0,18.0,58.0,100.0,51.0,30.0
Sebastian Aho,F,27.0,16.0,20.0,13.0,143.0,131.0,20.0,12.0
Nick Foligno,LW,28.0,30.0,45.0,16.0,26.0,127.0,90.0,28.0
Jack Eichel,C,29.0,17.0,5.0,13.0,180.0,106.0,39.0,3.0
Leon Draisaitl,C,29.0,1.0,13.0,2.0,179.0,134.0,21.0,13.0
Adam Fantilli,C,29.0,14.0,42.0,16.0,90.0,105.0,68.0,28.0
Dylan Cozens,C,30.0,34.0,45.0,16.0,59.0,124.0,59.0,28.0
Joshua Norris,C,30.0,24.0,51.0,12.0,69.0,114.0,70.0,25.0
Nazem Kadri,C,31.0,11.0,33.0,9.0,147.0,131.0,18.0,17.0
Elias Pettersson,C,31.0,30.0,35.0,11.0,128.0,84.0,57.0,21.0
MacKenzie Weegar,D,32.0,37.0,26.0,14.0,15.0,5.0,258.0,13.0
Brady Tkachuk,LW,33.0,16.0,39.0,4.0,14.0,128.0,147.0,21.0
