name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
Mika Zibanejad,C,NYR,1.0,615.5334046187304,81,34,44,35,215,574,105,50,97.67022590304173,94.69793955016425,99.51292467883808,95.90278689550502,97.25531041592214,74.12148534952163,56.372731825737574
Tim Stützle,LW,OTT,2.0,608.1054243770244,80,34,49,29,194,338,126,44,97.67022590304173,96.69975757348448,98.22595570593148,92.57498044427689,88.68501867836459,83.63553712531728,50.613948946607934
Nick Suzuki,C,MTL,3.0,599.2916868928718,82,29,72,43,183,731,62,62,94.73486390810493,99.65278481869822,99.86257502848844,90.43338612747468,99.2332043991178,48.025833114960946,67.34903949602673
Macklin Celebrini,F,SJS,4.0,597.5994336085429,82,45,70,33,287,625,53,53,99.61781978373318,99.51292467883808,99.22130492470797,99.68774985366325,98.01383728403529,41.795505679075774,59.75029140448935
Tage Thompson,C,BUF,5.0,596.2281077350949,81,40,41,24,272,390,85,48,98.9867463890605,92.70990957447268,95.57408086065158,99.38694032070251,91.57347366334204,63.420682201565796,54.57627472529981
Tomáš Hertl,C,VEG,6.0,594.2867232656845,82,24,34,25,202,720,114,45,89.14283912616693,85.33370332273623,96.32567159037676,94.00158267350113,99.12830929422269,78.65676119553417,51.69785606314653
Adam Fantilli,C,CBJ,7.0,592.4127479501399,82,24,35,13,214,552,139,51,89.14283912616693,86.59279528919484,78.43642772892261,95.7410444521877,96.93103103204771,87.99985847981517,57.56875184180492
Nico Hischier,C,NJD,8.0,586.5982456601281,82,28,38,23,211,1008,58,62,93.86545683796453,90.00514408143225,94.54090702760493,95.31504279804683,99.93250509841849,45.59015032063429,67.34903949602673
Nathan MacKinnon,C,COL,9.0,586.3451424865625,80,53,74,30,350,681,64,35,99.93250509841849,99.75767992359332,98.72917374527862,99.93250509841849,98.91851908443249,49.635792642610966,39.438966893810125
Wyatt Johnston,C,DAL,10.0,584.7568628948949,82,45,41,42,206,402,56,55,99.61781978373318,92.70990957447268,99.75767992359332,94.62532053967846,92.22578541084454,44.241624349796474,61.578723312776205
Dylan Cozens,C,OTT,11.0,583.6809716714307,82,28,31,29,204,435,215,24,93.86545683796453,80.80023555619604,98.22595570593148,94.33522661242512,93.49029290320259,98.70767105732389,24.256132998386995
Juraj Slafkovsky,LW,MTL,12.0,577.2588946566985,82,30,43,28,180,20,105,78,95.56666053697583,94.0522307923996,97.73088163863125,89.71405975705572,48.0956364413783,74.12148534952163,77.9779401407362
Elias Pettersson,C,VAN,13.0,562.9387633104786,74,15,36,22,131,642,67,108,68.47468880863289,87.76122047980792,93.56406329805543,70.25811864374344,98.57109563067962,52.26747587649109,92.04210057306813
Charlie Coyle,C,CBJ,14.0,561.5339795732494,82,20,38,13,144,626,111,53,81.62171828826857,90.00514408143225,78.43642772892261,76.43573515117708,98.12090077989694,77.16376213906267,59.75029140448935
Sam Bennett,C,FLA,15.0,559.4827733654744,76,26,32,14,201,517,115,32,91.8393299186974,82.47210995878356,80.9411014556513,93.81396162024714,95.96947979204697,79.24059630487042,35.20619431517751
Jack Eichel,C,VEG,16.0,558.5967362523131,74,27,63,28,260,558,35,40,92.91477691565069,99.2332043991178,97.73088163863125,98.97234226127652,97.03550506692574,27.207430530373017,45.5025954403381
Brock Nelson,C,COL,17.0,558.1864993422042,81,33,32,18,186,735,38,65,97.22140953254177,82.47210995878356,88.33783070721557,91.09172312265987,99.30313446904788,29.82267689121543,69.93761466074015
Vincent Trocheck,C,NYR,18.0,557.9092271063779,67,16,37,16,114,625,193,49,71.39909207109352,88.87490223173211,85.05724001851257,61.75699582748968,98.01383728403529,97.35046084237239,55.4566988311423
Connor McDavid,C,EDM,19.0,557.7226375272294,82,48,90,54,306,457,40,30,99.79264495855836,99.93250509841849,99.93250509841849,99.86257502848844,94.27479751351875,31.465891594224388,32.46171823560251
